"","ID","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Attrition_num"
"58",58,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Research & Development","3-5 miles",1,"Medical",1586,"medium","Male","Very High (81-110)","high",1,"Laboratory Technician","low","Single","low-Medium (4001-7000)",16213,1,"Yes",18,"high","very high",0,10,3,"high","low-Medium (6-10 Years)",9,1,5,0
"59",59,"29 to 39","No","Non-Travel","Medium (451-800)","Research & Development","<=2 miles",4,"Medical",380,"low","Female","High (61-80)","high",3,"Research Director","very high","Divorced","High (13001-16000)",11677,2,"Yes",18,"high","low",2,15,2,"high","Low(0-5 Years)",2,0,2,0
"60",60,"18 to 28","Yes","Travel_Frequently","Medium (451-800)","Sales",">=16",1,"Life Sciences",1273,"high","Male","High (61-80)","low",1,"Sales Representative","very high","Single","Low(1000-4000)",8040,1,"Yes",14,"high","very high",0,1,4,"high","Low(0-5 Years)",0,1,0,1
"61",61,"29 to 39","Yes","Travel_Rarely","Medium (451-800)","Sales","3-5 miles",1,"Life Sciences",967,"high","Male","Medium (41-60)","medium",3,"Sales Executive","very high","Married","Medium-High (10001-13000)",5518,1,"Yes",11,"high","low",1,16,6,"high","Medium-High (16-20 Years)",7,3,7,1
"62",62,"29 to 39","No","Travel_Rarely","Low(100-450)","Research & Development","10-15 miles",4,"Technical Degree",1312,"very high","Female","High (61-80)","high",3,"Healthcare Representative","high","Married","Medium (7001-10000)",5747,3,"No",12,"high","low",0,10,0,"high","low-Medium (6-10 Years)",7,1,7,0
"63",63,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Sales","<=2 miles",2,"Life Sciences",1996,"low","Male","Medium (41-60)","high",1,"Sales Representative","high","Married","Low(1000-4000)",6393,0,"No",19,"high","high",1,3,1,"high","Low(0-5 Years)",2,1,2,0
"64",64,"18 to 28","No","Non-Travel","Very High (1151-1500)","Research & Development","10-15 miles",3,"Medical",1839,"medium","Female","Low(0-40)","high",1,"Research Scientist","high","Single","Low(1000-4000)",8018,1,"No",16,"high","high",0,0,4,"low","Low(0-5 Years)",0,0,0,0
"65",65,"18 to 28","Yes","Travel_Rarely","High (801-1150)","Research & Development",">=16",2,"Life Sciences",1219,"very high","Female","Very High (81-110)","high",1,"Laboratory Technician","medium","Married","Low(1000-4000)",3372,1,"No",13,"high","low",1,1,3,"low","Low(0-5 Years)",0,0,0,1
"66",66,"29 to 39","No","Travel_Rarely","Low(100-450)","Research & Development","3-5 miles",2,"Life Sciences",21,"low","Male","High (61-80)","very high",1,"Research Scientist","medium","Divorced","Low(1000-4000)",15053,0,"Yes",12,"high","very high",2,7,5,"medium","low-Medium (6-10 Years)",2,0,5,0
"67",67,"29 to 39","No","Travel_Rarely","High (801-1150)","Research & Development","6-9 miles",4,"Life Sciences",691,"medium","Male","Very High (81-110)","low",2,"Research Scientist","very high","Single","low-Medium (4001-7000)",19368,1,"No",13,"high","medium",0,17,3,"high","Medium-High (16-20 Years)",11,11,8,0
"68",68,"18 to 28","No","Travel_Rarely","Medium (451-800)","Research & Development","10-15 miles",2,"Other",1982,"very high","Male","High (61-80)","high",1,"Laboratory Technician","very high","Single","Low(1000-4000)",13672,1,"No",13,"high","high",0,5,6,"very high","Low(0-5 Years)",2,1,4,0
"69",69,"29 to 39","No","Travel_Frequently","Medium (451-800)","Research & Development","<=2 miles",3,"Medical",88,"medium","Male","High (61-80)","high",1,"Research Scientist","low","Married","Low(1000-4000)",5868,4,"No",13,"high","very high",1,5,2,"medium","Low(0-5 Years)",2,1,2,0
"70",70,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Research & Development","<=2 miles",3,"Life Sciences",391,"very high","Female","Medium (41-60)","high",1,"Research Scientist","very high","Single","Low(1000-4000)",15881,1,"No",12,"high","medium",0,17,3,"high","Medium-High (16-20 Years)",12,5,7,0
"71",71,"40 to 50","No","Travel_Rarely","Medium (451-800)","Research & Development","<=2 miles",3,"Life Sciences",1999,"very high","Male","High (61-80)","high",1,"Research Scientist","very high","Married","Low(1000-4000)",21412,3,"No",22,"very high","low",1,12,3,"high","Low(0-5 Years)",3,1,0,0
"72",72,"18 to 28","No","Travel_Rarely","High (801-1150)","Sales","3-5 miles",3,"Medical",1469,"very high","Male","Very High (81-110)","high",2,"Sales Executive","low","Single","Medium (7001-10000)",23490,0,"No",18,"high","very high",0,6,4,"high","Low(0-5 Years)",4,1,3,0
"73",73,"29 to 39","Yes","Travel_Rarely","Medium (451-800)","Research & Development",">=16",2,"Life Sciences",261,"medium","Male","Medium (41-60)","medium",2,"Manufacturing Director","high","Married","low-Medium (4001-7000)",15497,3,"Yes",13,"high","low",0,8,1,"high","Low(0-5 Years)",0,0,1,1
"74",74,"40 to 50","No","Travel_Rarely","Low(100-450)","Research & Development","10-15 miles",4,"Life Sciences",1158,"medium","Male","Medium (41-60)","high",1,"Laboratory Technician","very high","Married","low-Medium (4001-7000)",9051,3,"Yes",11,"high","low",1,6,4,"high","Low(0-5 Years)",0,0,0,0
"75",75,"51 to 60","Yes","Travel_Rarely","High (801-1150)","Sales","3-5 miles",3,"Life Sciences",1319,"medium","Male","High (61-80)","high",3,"Sales Executive","medium","Single","Medium (7001-10000)",21534,9,"Yes",19,"high","high",0,10,2,"medium","low-Medium (6-10 Years)",7,7,7,1
"76",76,"29 to 39","No","Travel_Frequently","Medium (451-800)","Research & Development","<=2 miles",2,"Medical",57,"high","Female","Medium (41-60)","high",2,"Laboratory Technician","very high","Single","low-Medium (4001-7000)",10781,1,"No",23,"very high","very high",0,12,2,"high","Medium (11-15 Years)",8,3,7,0
"77",77,"29 to 39","No","Travel_Rarely","High (801-1150)","Sales","<=2 miles",3,"Technical Degree",1535,"very high","Male","High (61-80)","medium",3,"Sales Executive","high","Married","Medium (7001-10000)",12288,1,"Yes",14,"high","very high",0,10,3,"high","low-Medium (6-10 Years)",9,8,6,0
"78",78,"40 to 50","No","Travel_Rarely","Medium (451-800)","Sales","<=2 miles",4,"Life Sciences",1602,"very high","Male","Medium (41-60)","very high",4,"Manager","low","Single","Very High (16001-19999)",3156,1,"No",15,"high","medium",0,27,5,"low","Very High (26-30 Years)",0,0,12,0
"79",79,"40 to 50","No","Non-Travel","High (801-1150)","Sales","6-9 miles",3,"Medical",302,"very high","Female","Medium (41-60)","medium",3,"Sales Executive","very high","Single","Medium (7001-10000)",16840,6,"No",12,"high","very high",0,23,2,"high","Medium-High (16-20 Years)",7,12,8,0
"80",80,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Research & Development","<=2 miles",1,"Medical",1974,"very high","Female","Medium (41-60)","low",1,"Laboratory Technician","very high","Divorced","Low(1000-4000)",17536,1,"Yes",11,"high","high",3,1,4,"high","Low(0-5 Years)",0,0,0,0
"81",81,"29 to 39","Yes","Travel_Rarely","High (801-1150)","Research & Development","10-15 miles",2,"Medical",1033,"low","Female","High (61-80)","low",2,"Healthcare Representative","medium","Married","low-Medium (4001-7000)",14382,5,"No",15,"high","low",0,15,2,"low","Low(0-5 Years)",0,0,0,1
"82",82,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Research & Development",">=16",4,"Life Sciences",1728,"very high","Male","Medium (41-60)","high",2,"Manufacturing Director","high","Married","low-Medium (4001-7000)",5151,2,"No",16,"high","medium",1,17,3,"high","low-Medium (6-10 Years)",7,0,7,0
"83",83,"29 to 39","No","Travel_Frequently","Medium (451-800)","Research & Development","6-9 miles",4,"Life Sciences",1997,"low","Male","High (61-80)","medium",2,"Manufacturing Director","high","Married","low-Medium (4001-7000)",14284,2,"No",11,"high","very high",1,10,1,"high","low-Medium (6-10 Years)",3,7,7,0
"84",84,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Research & Development","6-9 miles",3,"Medical",474,"high","Male","Medium (41-60)","very high",2,"Research Scientist","low","Divorced","low-Medium (4001-7000)",17001,4,"Yes",13,"high","low",2,13,2,"high","low-Medium (6-10 Years)",7,6,7,0
"85",85,"29 to 39","No","Travel_Rarely","Low(100-450)","Research & Development","<=2 miles",4,"Life Sciences",1294,"high","Female","Medium (41-60)","high",2,"Manufacturing Director","medium","Single","low-Medium (4001-7000)",2323,9,"Yes",11,"high","very high",0,18,2,"high","Medium-High (16-20 Years)",14,5,12,0
"86",86,"51 to 60","No","Travel_Rarely","Medium (451-800)","Research & Development","<=2 miles",3,"Life Sciences",1032,"high","Female","High (61-80)","medium",4,"Manufacturing Director","very high","Single","High (13001-16000)",21829,3,"Yes",13,"high","low",0,30,4,"high","Low(0-5 Years)",3,4,3,0
"87",87,"40 to 50","No","Travel_Rarely","Medium (451-800)","Sales","10-15 miles",4,"Marketing",728,"very high","Male","Medium (41-60)","high",2,"Sales Executive","low","Single","low-Medium (4001-7000)",11825,2,"No",12,"high","very high",0,20,2,"high","low-Medium (6-10 Years)",7,1,7,0
"88",88,"29 to 39","Yes","Travel_Rarely","Medium (451-800)","Research & Development","10-15 miles",4,"Other",1010,"high","Male","Low(0-40)","medium",1,"Laboratory Technician","medium","Divorced","Low(1000-4000)",10074,1,"Yes",24,"very high","very high",1,5,2,"low","Low(0-5 Years)",2,0,2,1
"89",89,"18 to 28","No","Travel_Frequently","High (801-1150)","Sales","6-9 miles",3,"Life Sciences",56,"very high","Male","Low(0-40)","high",3,"Sales Executive","high","Single","Medium (7001-10000)",2975,1,"No",15,"high","very high",0,9,0,"high","low-Medium (6-10 Years)",8,1,7,0
"90",90,"40 to 50","No","Travel_Rarely","Medium (451-800)","Sales","<=2 miles",4,"Marketing",38,"medium","Female","Very High (81-110)","high",5,"Manager","low","Single","Very High (16001-19999)",22822,3,"No",12,"high","very high",0,22,2,"medium","Low(0-5 Years)",2,2,1,0
"91",91,"29 to 39","No","Travel_Frequently","Very High (1151-1500)","Research & Development","<=2 miles",2,"Life Sciences",556,"very high","Male","Medium (41-60)","high",1,"Laboratory Technician","very high","Married","Low(1000-4000)",12106,1,"Yes",23,"very high","high",1,1,3,"high","Low(0-5 Years)",0,0,0,0
"92",92,"29 to 39","Yes","Travel_Rarely","Low(100-450)","Sales",">=16",1,"Life Sciences",1165,"very high","Female","Medium (41-60)","medium",3,"Sales Executive","low","Married","Medium (7001-10000)",11162,1,"No",13,"high","low",1,11,3,"low","Medium (11-15 Years)",8,3,10,1
